accX1_avg,accY1_avg,accZ1_avg,mgX1_avg,mgY1_avg,mgZ1_avg,accX2_avg,accY2_avg,accZ2_avg,mgX2_avg,mgY2_avg,mgZ2_avg,accX3_avg,accY3_avg,accZ3_avg,mgX3_avg,mgY3_avg,mgZ3_avg,accX1_stdev,accY1_stdev,accZ1_stdev,mgX1_stdev,mgY1_stdev,mgZ1_stdev,accX2_stdev,accY2_stdev,accZ2_stdev,mgX2_stdev,mgY2_stdev,mgZ2_stdev,accX3_stdev,accY3_stdev,accZ3_stdev,mgX3_stdev,mgY3_stdev,mgZ3_stdev,accX1_median,accY1_median,accZ1_median,mgX1_median,mgY1_median,mgZ1_median,accX2_median,accY2_median,accZ2_median,mgX2_median,mgY2_median,mgZ2_median,accX3_median,accY3_median,accZ3_median,mgX3_median,mgY3_median,mgZ3_median,accX1_min,accY1_min,accZ1_min,mgX1_min,mgY1_min,mgZ1_min,accX2_min,accY2_min,accZ2_min,mgX2_min,mgY2_min,mgZ2_min,accX3_min,accY3_min,accZ3_min,mgX3_min,mgY3_min,mgZ3_min,accX1_max,accY1_max,accZ1_max,mgX1_max,mgY1_max,mgZ1_max,accX2_max,accY2_max,accZ2_max,mgX2_max,mgY2_max,mgZ2_max,accX3_max,accY3_max,accZ3_max,mgX3_max,mgY3_max,mgZ3_max,accX1_mad,accY1_mad,accZ1_mad,mgX1_mad,mgY1_mad,mgZ1_mad,accX2_mad,accY2_mad,accZ2_mad,mgX2_mad,mgY2_mad,mgZ2_mad,accX3_mad,accY3_mad,accZ3_mad,mgX3_mad,mgY3_mad,mgZ3_mad,accX1_accY1_cor,accX2_accY2_cor,accX3_accY3_cor,accX1_accZ1_cor,accX2_accZ2_cor,accX3_accZ3_cor,accY1_accZ1_cor,accY2_accZ2_cor,accY3_accZ3_cor,mgX1_mgY1_cor,mgX2_mgY2_cor,mgX3_mgY3_cor,mgX1_mgZ1_cor,mgX2_mgZ2_cor,mgX3_mgZ3_cor,mgY1_mgZ1_cor,mgY2_mgZ2_cor,mgY3_mgZ3_cor,accX1_accY1_accZ1_fft,accX2_accY2_accZ2_fft,accX3_accY3_accZ3_fft,mgX1_mgY1_mgZ1_fft,mgX2_mgY2_mgZ2_fft,mgX3_mgY3_mgZ3_fft,accX1_accY1_accZ1_entr,accX2_accY2_accZ2_entr,accX3_accY3_accZ3_entr,mgX1_mgY1_mgZ1_entr,mgX2_mgY2_mgZ2_entr,mgX3_mgY3_mgZ3_entr
981.50708,-182.3046,115.60598,-341.9328,-251.3728,-247.2704,911.7914,-306.20414,-75.9694,-358.9184,-42.5344,-127.52,954.467,130.7169,-36.24742,-238.1952,-249.2288,-266.624,2.01949765873,3.08496003864,1.99456717601,0.547602191376,1.31971972782,2.72585910127,1.70363728534,1.77248030748,2.83806720146,2.90399955923,2.00437537403,1.18226900492,1.73656190215,2.01422886733,2.24145875795,1.46748525035,2.36831133089,4.7592940653,981.368,-182.3595,115.8085,-342.08,-251.52,-247.68,911.95,-306.1895,-76.2195,-357.76,-41.92,-127.68,954.528,130.662,-36.0815,-237.76,-248.32,-266.24,975.085,-193.858,110.593,-342.72,-253.44,-251.52,907.741,-310.673,-85.705,-363.52,-45.44,-129.28,949.892,125.66,-47.885,-240.96,-253.76,-274.24,986.065,-176.229,120.414,-341.12,-248.96,-243.52,916.342,-302.621,-63.013,-354.56,-39.36,-125.44,958.005,134.81,-32.757,-235.84,-246.4,-255.04,0.793,1.891,1.1895,0.48,0.32,2.24,0.8845,1.1285,0.976,3.2,1.28,0.64,1.1895,1.403,0.8235,0.64,1.28,2.24,-8946646.62648,-13959759.5192,6238203.11853,5673369.43229,-3463323.23191,-1729796.62657,-1053752.6654,1163076.51239,-236837.839696,4297642.9056,763140.608,2968198.144,4227430.7072,2288402.432,3175376.896,3107868.7744,271224.7296,3322863.2064,3029920.29459,2792729.94269,2788260.40318,723775.340544,440720.375808,569912.15616,0.110477123795,0.110477123795,0.110477123795,0.0570332676057,0.0560614837886,0.057212620012
981.063,-182.64132,114.7349,-342.5344,-251.424,-248.0576,911.26314,-306.35298,-76.73434,-359.9552,-41.0624,-127.7376,954.36574,128.79418,-36.8074,-239.6032,-248.2112,-267.8464,2.10904798428,3.11613029535,2.56679563074,0.918773443238,0.374550397143,3.5134134741,1.82779494484,1.99329818632,2.96817274841,2.5172510721,2.82285710584,0.831236572824,1.65810567588,2.15667188687,1.9452019124,2.34764004055,2.31783402339,4.96793790621,980.819,-182.268,115.046,-342.4,-251.52,-247.68,911.5535,-306.1285,-76.311,-360.32,-41.92,-127.68,954.589,128.71,-36.5695,-239.68,-248.0,-266.24,975.329,-189.466,107.36,-343.68,-251.84,-253.76,907.741,-310.673,-82.716,-364.8,-44.8,-129.28,950.319,124.074,-41.48,-243.84,-253.76,-277.44,986.065,-176.534,120.414,-341.12,-250.88,-243.52,915.366,-300.486,-63.013,-357.44,-35.84,-126.4,958.005,134.688,-32.757,-236.8,-245.12,-261.44,1.037,2.1655,1.4945,0.64,0.32,3.2,1.1895,1.1285,0.915,2.56,1.28,0.48,1.0065,1.586,1.342,1.92,1.6,1.92,-8959201.06466,-13958426.7723,6145834.06014,5628040.43355,-3496206.57218,-1756325.70072,-1047664.17171,1175373.79971,-236945.116126,4306060.3904,738979.4304,2973671.5264,4248411.9552,2298929.2544,3208390.4512,3118345.8304,262298.4192,3324055.9616,3027081.91743,2790470.8252,2786303.62662,726269.233152,442757.271552,572387.254272,0.110477123795,0.110477123795,0.110477123795,0.0555894114159,0.0550422512259,0.055483612445
980.68358,-182.67914,114.42014,-343.5136,-251.1744,-250.3808,910.57262,-306.41886,-77.8177,-361.0496,-41.408,-127.1936,953.75208,128.20004,-38.06888,-239.8208,-248.6848,-268.5568,2.83261537869,4.63227123994,3.16297346818,0.905639575107,1.50344159847,2.84073500348,2.60560955548,3.84255089757,2.89040246506,2.84209004783,2.96893785721,0.4352,1.95024698785,2.30385492564,1.8024169511,2.06310430177,1.89099152827,4.86549871647,980.3615,-182.939,114.497,-343.68,-250.88,-250.88,910.669,-305.9455,-78.1715,-362.56,-41.28,-127.04,954.04,128.039,-38.0335,-239.68,-248.64,-267.52,973.56,-191.052,107.36,-344.96,-254.08,-253.76,897.981,-329.766,-82.716,-364.8,-44.8,-127.68,947.696,124.074,-42.334,-243.84,-250.88,-277.44,994.056,-164.212,121.817,-341.76,-249.28,-246.08,915.0,-300.486,-69.906,-356.48,-35.84,-126.4,957.761,133.224,-34.526,-236.8,-245.12,-261.44,1.0675,2.806,1.769,0.32,0.96,2.88,1.708,1.22,2.2875,2.24,2.08,0.64,1.159,1.4945,1.1895,0.32,0.64,1.28,-8957342.68935,-13950794.7855,6113540.55046,5610468.65478,-3543001.8012,-1815448.32739,-1044817.65508,1192202.16733,-243993.185019,4314061.824,747585.1264,2982068.224,4300538.4704,2296130.9696,3219800.6784,3144397.4144,263308.288,3339011.4816,3024730.22027,2787361.55195,2782619.63971,731375.603712,444800.188416,574537.218048,0.109677123795,0.109677123795,0.109677123795,0.0554732137938,0.0554008900068,0.0568539812311
983.68478,-193.8153,115.58036,-344.8,-249.8496,-252.384,908.54498,-317.35128,-82.15114,-362.1248,-38.6368,-127.1552,954.78786,124.42414,-37.34054,-239.0464,-247.4816,-269.7408,13.8145351486,35.7407287325,15.0905200358,2.8601985945,3.89312057866,2.48551644533,10.2031371695,28.7406683367,10.3669481874,2.48676033425,6.96183810211,1.17097265553,3.93375393237,10.3347164935,4.14106909486,0.711206749124,2.64954589317,2.85673088687,981.246,-185.5315,115.1985,-344.0,-250.24,-251.84,910.73,-306.9825,-79.605,-363.2,-41.28,-127.04,954.528,127.3375,-37.9725,-239.04,-247.36,-268.8,960.384,-364.109,83.082,-352.32,-254.08,-257.6,874.923,-418.094,-110.044,-363.84,-44.8,-129.28,943.487,90.707,-46.36,-240.0,-250.88,-277.44,1051.701,-118.462,167.994,-342.4,-240.32,-248.0,936.533,-271.45,-68.808,-356.48,-22.08,-125.12,962.702,142.191,-25.681,-236.8,-238.08,-266.88,2.7145,7.442,5.0935,0.8,0.96,1.6,3.2025,4.758,4.3005,0.32,2.56,0.64,2.013,3.721,1.403,0.32,1.6,1.92,-9530547.52046,-14404959.5205,5939667.98436,5686504.53252,-3730992.42177,-1783092.33096,-1121046.08341,1306773.22712,-231735.124487,4306899.8656,699263.8976,2958025.8304,4351416.32,2302306.7136,3223965.696,3152557.056,245902.0288,3337653.248,3060764.70421,2801856.68713,2785904.90815,735117.182976,446554.92096,573498.329088,0.109677123795,0.109677123795,0.109677123795,0.0549595287877,0.0555894114159,0.0562165300137
978.49612,-296.46122,121.817,-357.1648,-238.9504,-259.0592,887.22792,-388.96162,-138.74938,-367.1232,-21.7024,-122.7136,961.22702,78.90472,-61.41602,-248.448,-232.7744,-272.7552,17.3338424322,114.779178474,22.3223397,15.3091170536,12.4699922951,7.1417117948,27.9646515865,75.5189392266,63.1334736142,5.3835413772,20.2361168765,7.24253816283,13.4897783266,53.9438299656,35.1577746796,15.0961335447,20.0861213936,3.6736,977.4335,-247.3245,122.061,-352.32,-240.32,-257.6,895.785,-369.0805,-104.92,-363.84,-22.08,-125.12,959.1945,103.029,-43.859,-239.36,-238.08,-272.0,951.722,-534.238,83.082,-389.76,-252.48,-271.36,814.838,-522.282,-268.644,-378.56,-41.28,-129.28,932.812,-45.079,-143.716,-290.24,-247.36,-278.08,1051.701,-118.462,168.665,-343.04,-213.44,-249.92,936.533,-271.45,-68.808,-362.88,33.6,-103.36,995.032,142.191,-25.681,-238.08,-174.08,-267.52,7.7775,69.8145,14.152,8.32,8.96,4.96,15.5855,62.6165,31.659,0.64,6.72,1.92,7.1675,26.657,11.59,1.28,8.64,3.2,-14456776.0864,-17162147.5405,3782844.64236,5960656.84301,-6081317.80304,-2951622.56793,-1834285.51779,2905079.47759,-155666.427528,4257798.0416,393999.6672,2876668.7232,4631586.6112,2250742.272,3389158.1952,3090886.0416,140139.6224,3173582.848,3222468.90619,2904560.64517,2814849.73908,756649.592832,452400.009216,572851.709952,0.109677123795,0.109677123795,0.109677123795,0.0544048000085,0.0576810514427,0.055555936232
912.34894,-453.26538,108.00904,-420.4672,-150.1568,-261.4912,807.25448,-476.91752,-268.75746,-377.0944,46.4704,-74.9696,926.48996,-80.0076,-185.88042,-292.5184,-167.1744,-251.7632,84.4851146975,103.487027004,28.4969431195,56.0554134064,98.258125963,11.135146634,84.9150205331,57.2995445976,96.0757196114,8.26395647617,63.3430697381,53.2707274574,54.9431598651,149.525464588,113.078987404,38.4929882114,61.0033849605,30.3692347905,957.9135,-455.5785,109.5255,-389.76,-213.44,-259.84,842.288,-491.355,-244.6405,-375.36,33.6,-103.36,939.8575,-23.363,-148.1995,-290.24,-174.08,-270.72,720.837,-649.833,57.828,-493.76,-240.32,-276.16,629.642,-566.812,-430.904,-388.8,-22.08,-125.12,787.022,-350.445,-382.531,-344.32,-238.08,-278.08,986.98,-214.11,168.665,-352.32,32.64,-241.92,899.628,-347.7,-98.271,-363.84,144.0,27.2,995.032,124.623,-36.844,-239.36,-61.12,-187.84,23.5155,79.3305,23.9425,37.44,26.88,6.4,42.456,37.942,68.0455,8.64,53.6,21.76,29.7985,96.3495,91.5305,40.96,59.84,7.36,-20360896.4536,-19061424.4424,-3331725.60543,5018245.58429,-10464517.6981,-8325684.39389,-2368128.1411,6627324.65815,1566458.66543,2904990.3104,-893901.7216,2329780.8384,5482574.848,1402018.9184,3630569.472,2003640.9344,-10770.944,2192155.0336,3204466.26263,2913195.09327,2812499.59604,841914.71616,470695.600128,549073.250304,0.109677123795,0.109677123795,0.109677123795,0.0544771237955,0.0583648538205,0.0557687638222
775.87364,-582.63296,53.63242,-452.0192,23.9296,-248.2112,663.86422,-511.1556,-415.4344,-369.504,136.2432,14.8608,818.81886,-297.45552,-351.54666,-336.7296,-67.7056,-195.9232,99.7185719701,95.0112132001,46.2913310299,29.7111795686,111.901237186,14.0417823142,100.889452919,38.7384158494,89.4670719461,15.1685738288,42.9254235828,56.3422559662,77.0108529196,132.822987571,82.8782245492,16.3226401002,54.8545000582,38.2124384692,738.1305,-576.633,70.1805,-445.76,62.24,-241.92,626.226,-523.4715,-422.6995,-375.36,144.0,27.2,786.5645,-350.323,-384.422,-344.32,-61.12,-187.84,667.95,-737.917,-38.613,-493.76,-213.44,-276.16,561.627,-566.812,-560.407,-388.8,33.6,-103.36,729.499,-430.294,-451.156,-349.76,-174.08,-270.72,978.196,-365.817,127.002,-389.76,132.48,-237.44,887.733,-375.272,-235.582,-349.76,177.6,71.04,948.001,25.803,-152.683,-290.24,-8.96,-159.04,48.0375,54.9305,27.877,25.28,69.44,4.16,57.6755,13.0235,54.8085,13.44,31.36,43.52,47.58,64.965,51.2705,5.44,48.32,28.8,-22242502.6465,-16850665.0045,-11698260.6964,2254317.03975,-13372838.9072,-14086507.7003,-1379394.90131,10725356.7469,5772109.75433,-480924.2624,-2490395.3408,1101066.8544,5611976.9088,-237310.2592,3271163.904,-222650.5728,221268.3776,767412.0192,2896293.95807,2682795.58274,2738911.75088,840313.786368,481690.159104,483277.221888,0.109677123795,0.109677123795,0.109677123795,0.0552771237955,0.0551145750129,0.055555936232
696.03806,-684.12232,3.21592,-425.472,126.1696,-239.0208,579.2987,-528.12458,-510.69078,-354.624,174.6176,65.6512,748.2992,-407.82038,-427.83448,-346.8544,-14.8672,-158.9632,15.7102617425,60.0818026975,31.6337273092,12.3058204115,15.1300169147,2.52082830831,14.4214953264,15.2849509637,45.2215665462,6.05941779381,8.08870881167,9.73712414217,12.0540383524,22.5864675865,18.4655350383,1.82802643307,11.9965793525,7.48952052938,694.8205,-715.957,-9.882,-420.48,131.68,-238.08,575.047,-530.944,-534.421,-354.88,177.28,68.16,744.4135,-415.166,-436.516,-346.56,-10.24,-159.68,667.95,-742.248,-38.613,-453.44,91.84,-242.88,561.627,-551.501,-560.407,-375.36,144.0,27.2,729.499,-431.636,-451.156,-349.76,-61.12,-187.84,746.762,-551.684,82.838,-417.28,138.24,-232.64,622.81,-484.645,-420.29,-347.2,180.48,71.04,786.107,-350.201,-386.313,-344.32,-7.36,-148.8,12.2305,11.407,12.7185,0.96,2.24,1.28,6.039,9.272,6.588,4.48,2.56,2.88,5.795,9.9735,4.331,1.92,2.24,2.88,-23810613.1457,-15293956.0512,-15249151.0176,117240.583336,-14779247.528,-16000726.9513,-26517.862782,13512412.4451,8742267.54235,-2674855.5264,-3094250.7008,258038.272,5084458.1888,-1161596.3136,2756808.2944,-1508194.0992,577040.7936,121875.5584,2872079.99963,2633382.6838,2730923.76505,763388.516352,482269.569024,438004.979712,0.109677123795,0.109677123795,0.109677123795,0.0544048000085,0.0544771237955,0.0562165300137
697.24098,-721.93866,-17.10562,-421.6384,133.3568,-235.9552,581.52886,-536.81708,-537.532,-353.8048,177.2992,68.6464,747.90148,-421.12814,-435.52292,-348.2688,-10.1632,-154.752,9.92213849428,8.88902423354,7.7223599473,3.65578957819,3.47420980368,4.44593218122,8.82621569646,5.64146837921,5.69775266574,3.87226974267,2.45747499682,2.67443434019,6.99931809604,7.72100795754,4.65843608882,1.95132840906,2.43667760691,4.09799951196,697.84,-720.4405,-16.775,-420.48,134.56,-234.08,578.1275,-537.8675,-537.105,-353.76,177.76,69.44,746.0605,-422.242,-436.272,-347.84,-10.24,-154.24,677.832,-742.248,-30.012,-431.36,123.52,-242.88,568.215,-550.464,-557.601,-358.72,174.08,64.32,734.989,-433.1,-443.348,-352.0,-14.4,-163.2,711.87,-705.282,-2.684,-417.28,138.24,-231.04,595.97,-521.611,-525.027,-347.2,180.48,71.36,763.293,-404.491,-422.12,-344.32,-7.36,-148.8,9.4245,5.307,6.8625,2.24,3.68,2.72,7.1065,3.7515,3.2025,3.04,2.08,1.76,5.5815,4.3615,3.0195,0.64,2.24,4.16,-25169288.8828,-15608401.0651,-15747471.9851,-598756.022744,-15630128.5534,-16285718.7134,619269.944117,14428328.2824,9170798.78832,-2810977.9968,-3136264.3968,177134.3872,4974021.632,-1214082.8672,2694841.856,-1573128.3968,608845.312,78941.184,3023610.34097,2746293.70815,2779548.16013,753849.102336,484060.071936,436107.503616,0.109677123795,0.109677123795,0.109677123795,0.0544048000085,0.0533930700033,0.0562165300137
708.12948,-716.39132,-22.41994,-429.3056,127.1808,-230.7456,593.9204,-531.99198,-534.01352,-355.6416,172.3904,65.76,754.27354,-420.49862,-429.07156,-348.1344,-14.3872,-158.5728,11.2175164796,11.2259335335,5.04761948411,5.99181179945,7.1660454478,3.05115595144,10.5720444343,5.84751345271,6.29876252685,3.3310078715,4.67639902489,2.78252834667,5.58867885,6.54057793131,5.34893080217,2.15978902673,4.38853371412,4.54904958865,708.332,-715.3775,-23.5155,-431.36,124.16,-231.04,593.5605,-530.8525,-533.7805,-355.2,174.08,64.32,755.241,-420.961,-427.549,-347.84,-13.76,-160.64,678.991,-740.418,-30.012,-436.48,112.64,-235.52,571.265,-543.022,-548.146,-365.12,160.0,62.08,739.625,-433.1,-440.42,-352.0,-21.44,-163.2,724.863,-688.812,-7.808,-419.52,138.24,-226.56,610.793,-519.232,-522.16,-351.68,177.92,71.36,762.744,-406.26,-420.412,-343.68,-7.36,-151.36,6.771,8.2655,3.3245,5.12,5.76,3.04,7.0455,4.1175,4.5445,2.72,3.84,0.8,3.2025,5.551,3.3855,1.28,1.6,2.24,-25364925.6969,-15796253.1268,-15857652.0566,-795103.585122,-15857216.16,-16180743.0372,803912.728895,14205503.5835,9022296.38721,-2727889.408,-3064829.5424,250297.7536,4952465.8176,-1169007.616,2760011.0592,-1467884.544,567295.5904,114792.3456,3046331.61074,2763338.95143,2789858.06916,761455.048704,481693.446144,439783.507968,0.109677123795,0.109677123795,0.109677123795,0.0542497537834,0.0533930700033,0.055555936232
